iata,name,city,state,country,latitude,longitude
2R5,USBP,St Elmo,AL,USA,30.50190833,-88.27511667
2R9,USBP,Kenedy,TX,USA,28.8250075,-97.86558333
2S1,USBP,Vashon,WA,USA,47.45815333,-122.4773506
2S6,USBP,Newberg,OR,USA,45.29567333,-122.9553783
2S7,USBP,Chiloquin,OR,USA,42.58319167,-121.8761261
2S8,USBP,Wilbur,WA,USA,47.75320639,-118.7438936
2T1,USBP,Muleshoe,TX,USA,34.18513639,-102.6410981
2V1,USBP,Pagosa Springs,CO,USA,37.277505,-107.0558742
2V2,USBP,Longmont,CO,USA,40.16367139,-105.1630369
2V5,USBP,Wray,CO,USA,40.10032333,-102.24096
2V6,USBP,Yuma,CO,USA,40.10415306,-102.7129869
2W5,USBP,Indian Head,MD,USA,38.60053667,-77.07296917
2W6,USBP,Leonardtown,MD,USA,38.31536111,-76.55011111
2Y3,USBP,Yakutat,AK,USA,59.5624775,-139.7410994
2Y4,USBP,Rockwell City,IA,USA,42.38748056,-94.61803333
31F,USBP,Seminole,TX,USA,32.67535389,-102.652685
32M,USBP,Norfolk,MA,USA,42.12787528,-71.37033556
32S,USBP,Stevensville,MT,USA,46.52511111,-114.0528056
33J,USBP,Geneva,AL,USA,31.05527778,-85.88033333
33M,USBP,Water Valley,MS,USA,34.16677639,-89.68619722
33N,USBP,Dover,DE,USA,39.21837556,-75.59642667
33S,USBP,Ritzville,WA,USA,47.12487194,-118.3927539
34A,USBP,Laurens,SC,USA,34.50705556,-81.94719444
35A,USBP,Union,SC,USA,34.68680111,-81.64121167
35D,USBP,Allegan,MI,USA,42.53098278,-85.82513556
35S,USBP,Wasco,OR,USA,45.58944444,-120.6741667
36K,USBP,Lakin,KS,USA,37.96946389,-101.2554472
