location,max_pop,longitude,latitude
Shiraz,1460665,52.5425,29.61
Leon de los Aldama,1454793,-101.6833,21.1167
Pizhou,1458038,118.0097,34.3422
Palembang,1452456,104.7644,-2.9833
Kharkiv,1446107,36.2292,50
Kawanakajima,1437266,139.705,35.53
Lianjiang,1443099,110.2794,21.6146
Chizhou,1430000,117.4849,30.6583
Leizhou,1427664,110.0806,20.9147
Guyuan,1426000,106.2782,36.008
Rui'an,1424667,120.6526,27.778
Birstall,1424216,-1.12,52.6736
Muscat,1421409,58.5922,23.6139
Hebi,1419000,114.2887,35.7497
Jingling,1418913,113.1667,30.6667
Bronx,1418207,-73.8662,40.8501
The Hague,1406000,4.27,52.08
Owerri,1401873,7.0333,5.4833
Sharjah,1400000,55.3919,25.3575
Faridabad,1394000,77.3167,28.4333
Ulaanbaatar,1396288,106.9172,47.9203
Goiania,1393575,-49.2539,-16.6789
Belem,1393399,-48.5039,-1.4558
Kayseri,1389680,35.4833,38.7333
Yueqing,1389332,120.9621,28.1188
Belgrade,1378682,20.4667,44.8167
Pingdu,1378900,119.9556,36.7833
Aurangabad,1371330,75.32,19.88
Yutan,1368117,112.554,28.3147
Wenling,1366794,121.3718,28.3797
Islamabad,1365000,73.0369,33.6989
Milwaukee,1365787,-87.9673,43.0642
Milan,1351562,9.19,45.4669
Sofia,1355142,23.3241,42.6975
Adelaide,1345777,138.6011,-34.9289
Samsun,1335716,36.33,41.2867
Rajkot,1335397,70.7984,22.2969
Khulna,1311100,89.55,22.8167
Cordoba,1329604,-64.1833,-31.4167
Guarulhos,1324781,-46.5333,-23.4667
Juarez,1321004,-106.487,31.7386
Prague,1324277,14.4167,50.0833
Montevideo,1319108,-56.1667,-34.8667
Mbuji-Mayi,1295000,23.5967,-6.1209
Fuqing,1316000,119.3735,25.7232
Xintai,1315942,117.78,35.91
Doha,1312947,51.5333,25.3
Saitama,1307931,139.6453,35.8617
Hiroshima,1306589,132.4553,34.3853
Meerut,1305429,77.7,28.99
Yushu,1304436,126.5451,44.8249
Rongcheng,1302891,104.0966,26.2312
Yangquan,1300000,113.5762,37.8576
Haicheng,1293877,122.7474,40.8523
Gaozhou,1288665,110.8461,21.9392
Yingtan,1288615,117,28.2333
Huaiyin,1264000,119.03,33.58
Wuzhong,1284000,106.1919,37.9874
Jabalpur,1267564,79.9333,23.1667
Thane,1261517,72.9633,19.18
Zhangye,1270000,100.4553,38.9355
Rucheng,1267066,120.5634,32.3852
Nizhniy Novgorod,1264075,44.0075,56.3269
Comayaguela,1250000,-87.2167,14.0833
Yangshe,1253100,120.5512,31.8775
Shaoyang,1253548,119.8404,32.9387
Dhanbad,1246000,86.435,23.7928
Yichun,1250000,128.8893,47.7235
Laiwu,1248636,117.6667,36.1833
Kazan,1243500,49.1144,55.7908
Dayan,1244769,100.2208,26.8808
Suwon,1234300,127.01,37.2858
Jiangyin,1241045,120.2653,31.9087
Yongcheng,1240382,116.4459,33.9317
Calgary,1239220,-114.0667,51.05
Can Tho,1237300,105.7833,10.0333
Abuja,1235880,7.4914,9.0556
Yiwu,1234015,120.0698,29.3081
Mandalay,1225546,96.0869,21.9769
Beidao,1225000,105.92,34.6
Al Basrah,1225793,47.81,30.4889
Shuangshui,1221000,104.8333,26.5944
Sevilla,1212045,-5.9731,37.3828
Vila Velha,1209091,-51.2167,3.2167
Allahabad,1201000,81.84,25.455
Varanasi,1198491,83.0128,25.3189
Tunis,1200000,10.18,36.8008
Chelyabinsk,1202371,61.4,55.15
Mombasa,1200000,39.6667,-4.05
Providence,1203230,-71.4187,41.823
Qom,1201158,50.8789,34.6461
Maiduguri,1197497,13.15,11.8333
Maputo,1191613,32.5764,-25.9153
Rosario,1193605,-60.6394,-32.9575
Benin City,1190000,5.6145,6.3176
Xinyu,1186700,114.9242,27.795
Ahvaz,1184788,48.6692,31.3203
Dublin,1173179,-6.2658,53.3425
Jacksonville,1181496,-81.6749,30.3322
Medina,1180770,39.6,24.4667
Srinagar,1180570,74.8061,34.0911
Omsk,1178391,73.3833,54.9667
Huazhou,1178809,110.6294,21.654
Cilacap,1174964,109.017,-7.7167
Xiantao,1175085,113.4,30.3833
Bandar Lampung,1166761,105.2625,-5.4294
Samara,1169719,50.1167,53.1833
Guankou,1168056,113.625,28.1417
Ulsan,1166033,129.3167,35.55
Dingzhou,1165182,114.9845,38.5158
Campinas,1164098,-47.0573,-22.9009
Lianyuan,1162928,111.6659,27.6961
Rongcheng,1162770,112.9019,29.8239
Kaiyuan,1160000,113.8153,36.0656
Nay Pyi Taw,1160242,96.1583,19.8028
Dakar,1146053,-17.4572,14.7319
Zhuji,1157938,120.2314,29.7169
Zapopan,1155790,-103.4,20.7167
Leiyang,1151554,112.8457,26.4179
Dadukou,1144000,101.7149,26.5849
Quetta,1140000,67.007,30.192
Amritsar,1132383,74.85,31.6167
Callao,1129854,-77.1333,-12.0611
Aligarh,1131160,78.08,27.88
